Viacom	Tom Freston	1
Viacom	Sumner Redstone	1
Viacom	Alan C. Greenberg	0
Viacom	Jacques Tortoroli	0
Viacom	Dave Marsh	0
Viacom	William Schwartz	0
Viacom	Karl Roelofs	0
Viacom	Blythe J. Mcgarvie	0
Viacom	Thomas E. Dooley	0
Viacom	Ellen V. Futter	0
Viacom	Shari Redstone	0
Viacom	Michael D Fricklas	0
Viacom	Frederic V. Salerno	0
Viacom	Carl Icahn	0
Viacom	Charles Phillips	0
Viacom	Dede Lea	0
Viacom	Philippe Dauman	0
Viacom	Leslie Moonves	0
Viacom	George S Abrams	0
Viacom	Carol A. Melton	0
Viacom	Joanne Adams Griffith	0
Viacom	Robert Kraft	0
Viacom	Sara Levinson	0
Viacom	Carl Folta	0
Apple Inc.	Ronald Wayne	1
Apple	Ronald Wayne	1
Apple Computer, Inc.	Ronald Wayne	1
Apple Inc.	Steve Jobs	1
Apple	Steve Jobs	1
Apple Computer, Inc.	Steve Jobs	1
Apple Inc.	Steve Wozniak	1
Apple	Steve Wozniak	1
Apple Computer, Inc.	Steve Wozniak	1
Apple Inc.	Casey King	0
Apple	Casey King	0
Apple Computer, Inc.	Casey King	0
Apple Inc.	Don Norman	0
Apple	Don Norman	0
Apple Computer, Inc.	Don Norman	0
Apple Inc.	Queen Rania of Jordan	0
Apple	Queen Rania of Jordan	0
Apple Computer, Inc.	Queen Rania of Jordan	0
Apple Inc.	Michael Scott	0
Apple	Michael Scott	0
Apple Computer, Inc.	Michael Scott	0
Apple Inc.	Eric Schmidt	0
Apple	Eric Schmidt	0
Apple Computer, Inc.	Eric Schmidt	0
Apple Inc.	Randall Livingston	0
Apple	Randall Livingston	0
Apple Computer, Inc.	Randall Livingston	0
Apple Inc.	Michael Bartosh	0
Apple	Michael Bartosh	0
Apple Computer, Inc.	Michael Bartosh	0
Apple Inc.	Rob Schoeben	0
Apple	Rob Schoeben	0
Apple Computer, Inc.	Rob Schoeben	0
Apple Inc.	Jef Raskin	0
Apple	Jef Raskin	0
Apple Computer, Inc.	Jef Raskin	0
Apple Inc.	Arthur D. Levinson	0
Apple	Arthur D. Levinson	0
Apple Computer, Inc.	Arthur D. Levinson	0
Apple Inc.	Bruce Tognazzini	0
Apple	Bruce Tognazzini	0
Apple Computer, Inc.	Bruce Tognazzini	0
Apple Inc.	Jean-Louis Gassée	0
Apple	Jean-Louis Gassée	0
Apple Computer, Inc.	Jean-Louis Gassée	0
Apple Inc.	Fred D. Anderson	0
Apple	Fred D. Anderson	0
Apple Computer, Inc.	Fred D. Anderson	0
Apple Inc.	Tantek Çelik	0
Apple	Tantek Çelik	0
Apple Computer, Inc.	Tantek Çelik	0
Apple Inc.	Dominic Giampaolo	0
Apple	Dominic Giampaolo	0
Apple Computer, Inc.	Dominic Giampaolo	0
Apple Inc.	Erik Brown	0
Apple	Erik Brown	0
Apple Computer, Inc.	Erik Brown	0
Apple Inc.	Dave Morin	0
Apple	Dave Morin	0
Apple Computer, Inc.	Dave Morin	0
