stated in	source
Hawker Aircraft	Hawker Aircraft Limited
University of the West of England	UWE
Oberheim Electronics	Oberheim
Westfield Group	Westfield
Universidade Federal de Ciências da Saúde de Porto Alegre	UFCSPA
Universidade Federal de Ciências da Saúde de Porto Alegre	Health Sciences Federal University of Porto Alegre
State Street Corporation	State Street
City Union Bank	CUB
BBC Worldwide	BBC Worldwide Limited
STENAPA	St Eustatius National Parks Foundation
University of Eastern Finland	UEF
Sumitomo Mitsui Financial Group	SMFG
Martinsyde	Martin & Handasyde
Gateway	Gateway, Inc.
Gateway	Gateway 2000
Gateway	Gateway Computer
Royal Humane Society	Society for the Recovery of Persons Apparently Drowned
Academy of Fine Arts of Helsinki	Kuvataideakatemia
Academy of Fine Arts of Helsinki	Bildkonstakademin
Caproni	Società de Agostini e Caproni
Caproni	Società Caproni e Comitti
Caproni	Società Italiana Caproni, Milano
Caproni	Caproni Bergamasca
Caproni	Caproni Vizzola
Gremlin Interactive	Gremlin Graphics
Maroc Telecom	tzm
Tweakers.net	Tweakers
Tweakers.net	T.net
University of Aleppo	جامعة حلب
University of Ghana	UG
Thiokol	Thiokol Chemical Corporation
Thiokol	Morton-Thiokol Inc.
Thiokol	Cordant Technologies Inc.
Thiokol	Thiokol Propulsion
Thiokol	AIC Group
Thiokol	ATK Thiokol
Thiokol	ATK Launch Systems Group
Suleyman Demirel University	دانشگاه سلیمان دمیرل
Toyota Australia	Toyota Motor Corporation Australia
Transfermarkt	transfermarkt.de
University of Dubrovnik	University Durbrovnik
University of Zadar	University Zadar
Kitware	Kitware, Inc.
Système U	UNICO
Système U	U
Nomad	Nōmaddo
Alfred McAlpine	Alfred McAlpine plc
William Denny and Brothers	William Denny and Brothers Limited
William Denny and Brothers	Denny
Otava	Kustannusosakeyhtiö Otava
Make-up Art Cosmetics	M·A·C
Make-up Art Cosmetics	MAC Cosmetics
Eye-Fi	Eye Fi
Eye-Fi	EyeFi
h.a.n.d.	h.a.n.d. Inc.
BRB Internacional	B.R.B Internacional S.A.
Universidade Federal do Ceará	UFC
Universidade Federal do Ceará	Federal University of Ceará
Papa John's	Papa John's Pizza
Ateme	ATEME
Adcash	Adcash advertising networks
Adcash	Adcash advertising technology
Aeromarine	Aeromarine Plane and Motor Company
Aeromarine	Aeromarine-Klemm Corporation
RADWIN	以色列瑞赢
RADWIN	רדווין
Birmingham Railway Carriage and Wagon Company	BRCW
Orange RDC	Congo Chine Télécoms
Orange RDC	Congo Chine Télécom
Orange RDC	Orange
Digital Image Design	DID
Doga Kobo	Dogakobo
Evergreen International Aviation	Evergreen International Aviation, Inc.
University of Valle	Univalle
Atresmedia	Antena 3 de Televisión
Atresmedia	Antena 3 de Televisión, S.A.
Atresmedia	Atresmedia Corporación de Medios de Comunicación, S.A.
Ingenico Group	Ingenico
The Source	La Source
The Source	The Source (Bell) Electronics Inc.
The Source	RadioShack
The Source	The Source by Circuit City
Uludag University	Uludağ University
Osmangazi University	Eskişehir Osmangazi University
National Air Traffic Services	NATS Holdings
R	R Cable y Telecommunications Galicia, S.A.
R	R Cable y Telecommunications Galicia, Sociedad Anónima
Sociedad Hispano-Marroquí de Transportes	Carranza y Berndhart
Sociedad Hispano-Marroquí de Transportes	Hisma
Sociedad Hispano-Marroquí de Transportes	Spanish-Morrocan Transport Company
NBBJ	Naramore, Bain, Brady & Johanson
Orange España	Orange Spain
Rockefeller Group	Metropolitan Square Corporation
Rockefeller Group	The Rockefeller Group
TRAFFIC	wildlife trade monitoring network
Indian Postal Service	Postal Service in India
Urban Outfitters	Urban Outfitters, Inc.
Kryvyi Rih National University	Kryvyi Rih University
Kryvyi Rih National University	KNU
Lviv National University of Veterinary Medicine and Biotechnology	The Lviv National Stepan-Gzhytskyj-University of Veterinary Medicine and Biotechnology
Irwin Industrial Tools	IRWIN Industrial Tools
Irwin Industrial Tools	IRWIN TOOLS
Electric Power Development Company	J-POWER
Electric Power Development Company	J POWER
Electric Power Development Company	EPDC
Electric Power Development Company	Dengen Kaihatsu
ASEES	Sino-Spanish Association for Energy and Sustainability
Universidade Federal do Rio Grande do Norte	UFRN
Universidade Federal do Rio Grande do Norte	Federal University of Rio Grande do Norte
GeoEye	ORBIMAGE
GeoEye	GeoEye Inc.
Bayer HealthCare Pharmaceuticals	Berlex
Dübs and Company	Dübs
Dübs and Company	Dübs & Co.
Dübs and Company	Dubs and Company
J. B. Hunt	J.B. Hunt Transport Services, Inc.
Giordano	Giordano, International Limited
Multiregional TransitTelecom	MTT
Moscow State Technological University	STANKIN
Moscow University for Industry and Finance	Synergy University
Dr. B. R. Ambedkar University	Agra University
Twitch	Twitch.tv
51 Minds Entertainment	Fifty One Minds Entertainment
Abbot Group	Abbot Group Limited
Ace	Ace Aircraft Manufacturing Company
Ace	Corben Sport Plane and Supply Company
Ace	Ace Aircraft, Inc.
Acorn Computers	Acorn Computers Ltd
American Machine and Foundry	AMF
BEC	Business Empire Consulting
BSA Company	BSA Company Limited
BSA Company	BSA
Instituto Federal da Bahia	IFBA
Instituto Federal da Bahia	Instituto Federal de Educação, Ciência e Tecnologia da Bahia
Instituto Federal da Bahia	Bahia Federal Institute of Education, Science and Technology
Bates Smart	Reed, Smart and Tappin
Royce'	Royce' Confect
Blake's Lotaburger	Blake's
Blake's Lotaburger	Lotaburger
Bona AB	Bona
Bona AB	Bonakemi
Bona AB	bonax
Brush Development Company	Brush Labs
CBS Interactive	CBS Digital Media Group
CNR Dalian	CNR Dalian Locomotive and Rolling Stock Company
CNR Dalian	DLoco
CNR Dalian	CNR Dalian Locomotive & Rolling Stock Co., Ltd.
CORE Media Group	CKX, Inc.
Capital & Counties Properties	Capital & Counties Properties plc
Capital & Counties Properties	Capco
Cardinal Bank	Cardinal Financial Corporation
Certis CISCO	CISCO Security Private Limited
Certis CISCO	Certis CISCO Security Private Limited
Construction Industry Council Hong Kong	Construction Industry Council
Corona	Alexandria confectionery & chocolate company
Crewe Works	Crewe railway works
Dick Smith	Dick Smith Electronics
Dick Smith	DSE
Dubai Islamic Bank	DIB
Electronic Entertainment Design and Research	EEDAR
Family Dollar	Family Dollar Stores, Inc.
Family Dollar	FDO
Flintco	Flintco, LLC
Fortyfive	AIM
Foster Yeoman	Foster Yeoman Limited
Fundação Getúlio Vargas	FGV
Fundação Universidade Federal do Rio Grande	FURG
Fundação Universidade Federal do Rio Grande	Rio Grande Federal University Foundation
Fundação Universidade Federal do Rio Grande	Federal University Foundation of Rio Grande
G3	Good Governance Group
Game Retail Limited	The Game Group plc
Game Retail Limited	Game
Grace	GraceKennedy Limited
Harriet Carter	Harriet Carter Gifts Inc
Harrison and Sons	Harrison & Sons
Harrison and Sons	Harrison and Co.
Harrison and Sons	Harrison and Sons Ltd
Harrison and Sons	Harrison and Son
Harrison and Sons	Harrison & Son
Harrison and Sons	H&S
Corning Inc.	Corning Glass Works
HomeAdvisor	Home Advisor
HomeAdvisor	ServiceMagic
Joy City Property	Joy City Property Limited
Joy City Property	Ming Ren Investment & Enterprises Ltd.
Joy City Property	Ming Ren Investment & Enterprises
Joy City Property	Ming Ren Holding Co.Ltd.
Joy City Property	Ming Ren Holding
Joy City Property	The HONG KONG PARKVIEW GROUP Co.Ltd.
Joy City Property	The HONG KONG PARKVIEW GROUP
Joy City Property	COFCO Land
Joy City Property	COFCO Land Holdings
Joy City Property	COFCO Land Holdings Limited
Hysan Development Company Limited	Hysan Development
INTO University Partnerships	int
FXCM	Forex Capital Markets
IUBAT	International University of Business Agriculture and Technology
J D Wetherspoon	J D Wetherspoon plc
J D Wetherspoon	Wetherspoon's
Stansaab	Stansaab AS
Jarden	Jarden Corporation
ENFOS, Inc.	ENFOS
Logan	Logan Construction Company
Macmillan Publishers	Macmillan Publishers USA
Macmillan Publishers	Macmillan & Co.
Macmillan Publishers	The Macmillan Company
Tokyo Broadcasting System Television	TBS Television
Micro Electronics, Inc.	MEI
Micromuse	Micromuse Inc.
Model N	Model N, Inc.
Morgan	Morgan de Toi
Morris & Co.	Morris, Marshall, Faulkner & Co.
Motion Picture Corporation of America	MPCA
Mount Lyell Mining and Railway Company	Mount Lyell Mine
Mount Lyell Mining and Railway Company	Mount Lyell Company
Next	Next Retail India Ltd
Nishat Group	Mian Muhammad Mansha
Noise	Noise Inc.
Och-Ziff Capital Management	Och-Ziff Capital Management Group
Odisha TV	OTV
Odisha TV	Orissa TV
Osaka International University	OIU
CMD Group	Reed Construction Data
SCG International Risk	SCG International
Sinclair Radionics	Sinclair Radionics Ltd
SolarCity	SolarCity Corporation
Stagecoach London	East London Bus Group
State University of Makassar	Makassar State University
State University of Makassar	UNM
State University of Makassar	State University of Makassar
SunRun	Sunrun Inc.
The Sun	theSun
Tokaido	Tōkaidō
UFO Interactive Games	UFO Interactive Games, Inc.
UniFirst	UniFirst Uniforms
UniFirst	UniFirst Corp.
UniFirst	UniFirst Facility Services
Universal Technical Institute	UTI
Universidad del Sagrado Corazón	University of the Sacred Heart
University of Houston–Victoria	UHV
University of the Philippines College of Law	UP Law
Vienna Hotels	Vienna Hotel Group Limited
Vienna Hotels	维也纳精品连锁酒店
Vivint Solar	Vivint Solar, Inc.
Warner Bros. Television Distribution	WBDTD
Wingstop	Wingstop Restaurants, Inc.
X-Rite	فارسي
Xi'an Aircraft International	Xi'an Aircraft International Corporation
Xi'an Aircraft International	XAIC
Xi'an Aircraft International	000768
SCO Group	SCO
SCO Group	TSG
SCO Group	The SCO Group
SCO Group	Caldera
SCO Group	Caldera International
SCO Group	The TSG Group
SCO Group	UnXis
SCO Group	UnXis, Inc.
SCO Group	Xinuos
SCO Group	Xinuos, Inc.
SCO Group	Caldera Systems
Uniwersytet Przyrodniczo-Humanistyczny w Siedlcach	University of Natural Sciences and Humanities in Siedlce
Universidad de América	University of America
Multiconsult	MC
Mondelēz International	Mondelez International, Inc.
Mondelēz International	National Dairy Products
Sterilgarda	Sterilgarda Alimenti
Sterilgarda	Sterilgarda Alimenti S.p.A.
Audimas	AB Audimas
Nettbuss express	Säfflebussen
Nettbuss express	Saefflebussen
Nettbuss express	Safflebussen
Nettbuss express	Säfflebussen AB
Nettbuss express	AB Säffle Reseservice
Nettbuss express	GoByBus
Nettbuss express	Nettbuss Express AB
Nettbuss express	Nettbuss Ekspress AS
Local World	Local World Ltd.
Yachay University for Experimental Technology and Research	Yachay Tech
Cloud Imperium Games	Cloud Imperium Games, LLC
CamelBak	CamelBak Products, LLC
PTT Global Chemical Public Company Limited	PTTGC
John Thompson	John Thompson Limited
IMG Academy	The Pendleton School
IMG Academy	Pendleton School
IMG Academy	The IMG Pendleton School
IMG Academy	Nick Bollettieri Tennis Academy
IMG Academy	IMG Pendleton School
John Player & Sons	Player's
Hertz Car Sales	Hertz Rent2Buy
Boeing	The Boeing Company
Microsoft	Microsoft Corporation
Microsoft	Micro-Soft
Microsoft	MS
Microsoft	MSFT
Sinclair Research	Sinclair Research Ltd
Sinclair Research	Sinclair Instrument Ltd
Sinclair Research	Science of Cambridge Ltd
Sinclair Research	Science of Cambridge
Sinclair Research	Cambridge Computers
Ursus Breweries	Timișoreana
Ursus Breweries	Ursus
Ursus Breweries	Timişoreana
Ursus Breweries	Ursus Beer
Ursus Breweries	Timisoreana
Ursus Breweries	Bere Ursus
Hamburger Hochbahn	Hamburger Hochbahn AG
Hamburger Hochbahn	HHA
Transports en commun lyonnais	TCL
International Airlines Group	IAG
International Airlines Group	International Consolidated Airlines Group, S.A.
International Airlines Group	International Consolidated Airlines Group SA
Boeing Commercial Airplanes	BCA
ETH Zurich	Swiss Federal Institute of Technology in Zurich
ETH Zurich	Eidgenössische Technische Hochschule Zürich
ETH Zurich	ETH Zürich
ETH Zurich	ETHZ
ETH Zurich	EPFZ
ETH Zurich	ETH Zuerich
Universal Esperanto Association	UEA
Universal Esperanto Association	Universala Esperanto-Asocio
Universal Esperanto Association	Universala Esperanto Asocio
Michel de Montaigne University Bordeaux 3	Université Michel de Montaigne Bordeaux 3
University of Massachusetts Lowell	UMass Lowell
University of Massachusetts Lowell	UML
Peking University	PKU
Peking University	Beida
Peking University	Beijing University
Peking University	University of Beijing
Tsinghua University	Tsinghua
Tsinghua University	THU
Tsinghua University	Tsinghua College
Tsinghua University	Tsinghua School
Tsinghua University	Qinghua University
Tsinghua University	Qinghua
Allgame	All Game Guide
Saint Joseph College	University of Saint Joseph
Universiti Teknologi Malaysia	University of Technology, Malaysia
Universiti Teknologi Malaysia	UTM
Pompeu Fabra University	Universitat Pompeu Fabra
Pompeu Fabra University	UPF
Abarth	Abarth & C. Spa
Mercedes-AMG	AMG
Bitter Automobile	Bitter Cars
University of Minho	Universidade do Minho
Kansas State University	Kansas State
Kansas State University	K-State
Odd Lot Entertainment	OddLot Entertainment
WWE	World Wrestling Entertainment
WWE	World Wrestling Federation
WWE	WWF
University of Cambridge	Cambridge University
University of Cambridge	Cambridge
IBM	International Business Machines Corporation
IBM	Big Blue
Internet Movie Database	IMDb
Internet Movie Database	IMDB
Internet Movie Database	IMDB.com
PNC Financial Services	PNC
Canonical Ltd.	Canonical
Seoul National University	SNU
Seoul National University	Seoul-dae
Kim Il-sung University	김일성종합대학
Rickenbacker	Rickenbacker International Corporation
Stanford University	Leland Stanford Junior University
Sportech	Sportech PLC
TVR	Trevor
Columbia University	Columbia University in the City of New York
Rensselaer Polytechnic Institute	RPI
Goethe University Frankfurt	Johann Wolfgang Goethe-Universität Frankfurt am Main
Goethe University Frankfurt	University of Frankfurt am Main
ABB Group	ABB
Sharp Corporation	Sharp
University of Cologne	Universität zu Köln
Radiotelevisión Española	Corporación de Radio y Televisión Española, S.A.
Radiotelevisión Española	Ingles
Ludwig Maximilian University of Munich	LMU
Ludwig Maximilian University of Munich	University of Munich
Jacobs University Bremen	International University Bremen
Jacobs University Bremen	IUB
Vauxhall Motors	Vauxhall
Lviv University	University of Lviv
Hewlett-Packard	HP
Hewlett-Packard	Hewlett-Packard Company
Sina Weibo	Weibo
Rockstar North	DMA Design Ltd
Rockstar Games	Rockstar NYC
Kazan Federal University	Kazan (Volga region) Federal University
Warner Bros.	Warner Bros. Pictures
Warner Bros.	Warner Bros. Entertainment Inc.
Warner Bros.	Warner Bros. Studios
Warner Bros.	Warner Brothers
Warner Bros.	WB
Pixar	Pixar Animation Studios
Universidade Federal de Minas Gerais	UFMG
Universidade Federal de Minas Gerais	Federal University of Minas Gerais
Funke Mediengruppe	WAZ-Mediengruppe
Dollar General	Dollar General Corporation
Dollar General	DG
Dollar General	DolGenCorp
limited liability company	LLC
Waterstones	Waterstone's
University of Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn
University of Bonn	Universität Bonn
University of Bonn	Uni Bonn
University of Cincinnati	UC
University of Freiburg	alberto-ludoviciana
University of Freiburg	Albert-Ludwigs-Universität Freiburg
University of Freiburg	ALU
ExxonMobil	Exxon Mobil Corporation
ExxonMobil	Exxon Mobil Corp.
Raytheon	Raytheon Company
Technische Universität München	TU München
Technische Universität München	TUM
Technische Universität München	Technical University Munich
Encyclopedia Dramatica	Encyclopædia Dramatica
Encyclopedia Dramatica	Encyclopaedia Dramatica
The Royal Bank of Scotland	The Royal Bank of Scotland plc
The Royal Bank of Scotland	Royal Bank of Scotland
The Royal Bank of Scotland	RBS
University of Edinburgh	Edinburgh University
Oakley, Inc.	Oakley
LG Electronics	LG Electronics Inc.
Axel Springer AG	Axel Springer
Hydro-Québec	Hydro Québec
Hydro-Québec	Hydro Quebec
Hydro-Québec	Hydro-Quebec
Pratt & Whitney	P&W
Pratt & Whitney	PW
Sun Yat-sen University	Zhongshan University
Metro-Goldwyn-Mayer	MGM
University of Toronto	UToronto
University of Toronto	U of T
Hennes & Mauritz	H&M
Jagiellonian University	Academia Cracoviensis
Jagiellonian University	Akademia Krakowska
Jagiellonian University	Academy of Kraków
Jagiellonian University	Uniwersytet Jagielloński
Louis Vuitton	Louis Vuitton Malletier
Louis Vuitton	LV
Pizza Hut	Pizza Hut, Inc.
Time Warner	Time Warner, Inc.
Time Warner	AOL Time Warner
University of Glasgow	Glasgow University
Johns Hopkins University	The Johns Hopkins University
Johns Hopkins University	Johns Hopkins
Johns Hopkins University	JHU
Johns Hopkins University	Hopkins
Ziehl-Abegg	Ziehl-Abegg SE
Finnair	Finnair Oyj
Finnair	Finnair Plc
American Motors	American Motors Corporation
American Motors	AMC
University of Bergen	Universitetet i Bergen
University of Bergen	Universitas Bergensis
University of Bergen	UiB
Walt Disney World Resort	Walt Disney World
Pfizer	Pfizer, Inc.
Square Enix	Square Enix Holdings Co., Ltd.
University of Paris	Sorbonne
University of Virginia	U of V
University of Virginia	UVa
University of Amsterdam	UvA
Ilyushin	Ilyushin Aviation Complex
Ilyushin	Open Joint Stock Company «Ilyushin Aviation Complex»
Ilyushin	Ilyushin Design Bureau
2K Czech	Illusion Softworks
University of Birmingham	Birmingham University
Università Cattolica del Sacro Cuore	UCSC
Università Cattolica del Sacro Cuore	Cattolica
Università Cattolica del Sacro Cuore	Catholic University of Milan
Robert Bosch GmbH	Bosch
University of Minnesota	University of Minnesota, Twin Cities
University of Minnesota	University of Minnesota-Twin Cities
University of Minnesota	U of M
Zurich Cantonal Bank	Zürcher Kantonalbank
Avro	A.V. Roe
Society for Worldwide Interbank Financial Telecommunication	SWIFT
Motorola	Motorola, Inc.
Çankaya University	Çankaya Üniversitesi
Çankaya University	Cankaya University
Çankaya University	Cankaya Universitesi
Çankaya University	Çankaya University Faculty of Arts and Sciences
Çankaya University	Çankaya University Faculty of Economics and Administrative Sciences
Çankaya University	Çankaya University Faculty of Law
Çankaya University	Çankaya Vocational Training School
Çankaya University	Çankaya University Vocational High School of Justice
Çankaya University	Çankaya University Faculty of Engineering
Çankaya University	Çankaya University Faculty of Architecture
Çukurova University	Çukurova Üniversitesi
Çukurova University	Cukurova University
Çukurova University	Cukurova Universitesi
School for Advanced Studies in the Social Sciences	Ecole des Hautes Etudes en Sciences Sociales
School for Advanced Studies in the Social Sciences	EHESS
School for Advanced Studies in the Social Sciences	Ecole des hautes études en sciences sociales
School for Advanced Studies in the Social Sciences	Ecole des hautes etudes en sciences sociales
School for Advanced Studies in the Social Sciences	École des Hautes Études en Sciences Sociales
School for Advanced Studies in the Social Sciences	The École des hautes études en sciences sociales
School for Advanced Studies in the Social Sciences	L'École des hautes études en sciences sociales
School for Advanced Studies in the Social Sciences	École des Hautes Etudes en Sciences Sociales
School for Advanced Studies in the Social Sciences	École des hautes études en sciences sociales
Waseda University	早稲田大学
Waseda University	Waseda daigaku
Waseda University	早大
Waseda University	Sōdai
A&W Restaurants	A & W Restaurants
A&W Restaurants	A&W All-American Food Restaurant
A&W Restaurants	Teen Burger
A&W Restaurants	Baby Burger
A&W Restaurants	Mama Burger
A&W Restaurants	A&W All-American Food
A&W Restaurants	A&w all-american food
A&W Restaurants	A&w all-american food restaurant
A&W Restaurants	A&w restaurants
A&W Restaurants	A&W Restaurants Inc.
A&W Restaurants	A&W Restaurants, Inc.
A&W Restaurants	A&W Restaurant
A. Lange & Söhne	Lange & Sohne
A. Lange & Söhne	A. Lange & Sohne
A123 Systems	A123
A123 Systems	Battery range extender module
A123 Systems	Battery Range Extender Module
A123 Systems	A123Systems
Alvis plc	Alvis Vickers plc
Alvis plc	Alvis Ltd.
iQue	iQue, Ltd.
ACDelco	AC Delco
ACDelco	Delco-Moraine
ACDelco	Delco Moraine
ACDelco	A.C. Delco
ACDelco	United Motors Company
ACDelco	Delco United
ACDelco	United Motors Service
ACDelco	United Motors Corporation
ACDelco	AC-Delco
ACDelco	AC Spark Plug
ACD Systems	ACD Systems Digital Imaging
ACD Systems	ACDsee
ACD Systems	Acd see
ACD Systems	ACDSystems
Íslandspóstur	Iceland Post
Íslandspóstur	Pósturinn
Íslandspóstur	Posturinn
Íslandspóstur	Islandspostur
AKG Acoustics	AKG Acoustics GmbH
ALROSA	Alrosa Company Ltd.
ALROSA	Alrosa Co. Ltd.
ALROSA	Almazy rossii-sakha
ALROSA	Alrosa
Altran	Altran Technologies
Altran	Altran Group
Ansys	ANSYS
Ansys	Ansoft
Ansys	ANSYS Inc.
Ansys	Ansoft Corporation
Ansys	ANSYS, Inc
Ansys	Fluent, Inc.
Ansys	ANSYS, Inc.
APN News & Media	APN Holdings
APN News & Media	APN News & Media Limited
APN News & Media	Australian Provincial Newspapers
APN News & Media	APN News
APN News & Media	The Northland Age
ARM Holdings	Advanced RISC Machine
ARM Holdings	Advanced RISC Machines Ltd.
ARM Holdings	Advanced RISC Machines Ltd
ARM Holdings	ARM Holdings plc
ARM Holdings	ARM Ltd
ARM Holdings	ARM Ltd.
ARM Holdings	Advanced RISC Machines
ARM Holdings	ARM Limited
ASCII	ASCII (magazine)
ASCII	ASCII Corporation
ASCII	ASCII Entertainment
ASCII	ASCII Entertainment Software
ASCII	ASCII Shuppansha
ASCII	ASCII Microsoft
ASCII Media Works	Dengeki
ASCII Media Works	Dengeki Game Bunko
ASCII Media Works	Sylph Comics
ASCII Media Works	ASCII MediaWorks
ASCII Media Works	株式会社アスキー・メディアワークス
ASELSAN	Aselsan
AU Optronics	AU Optronics Corp.
Austrian Student Aid Foundation	Home4students
Abkhazian State University	Sukhumi State University
Abdou Moumouni University	University of Niamey
Abdou Moumouni University	Abdou Moumouni Dioffo University
Abdou Moumouni University	Abdou Moumouni University of Niamey
Next Computer, Inc.	Next, Inc.
Next Computer, Inc.	Next Computer, Inc.
Next Computer, Inc.	Next Software, Inc.
Beretta	Fabbrica d'Armi Pietro Beretta
Brigham Young University	BYU
Brigham Young University	The Y
ČEZ Group	ČEZ
ČEZ Group	CEZ
ČEZ Group	CEZ Gruop
Academy of Fine Arts, Rome	Academy of Fine Arts of Rome
Academy of Fine Arts, Rome	Accademia di Belle Arti di Roma
Academy of Fine Arts, Rome	Accademia delle Belle Arti di Roma
Academy of Fine Arts, Rome	Academy of Fine Arts Rome
Mediaset S.p.A.	Gruppo Mediaset
Jack Daniel's	JD
Standard Oil	Standard Oil Co. Inc.
Standard Oil	Standard Oil Company
Sony Mobile Communications	Sony Mobile
Sony Mobile Communications	Sony Ericsson Mobile Communications AB
American Locomotive Company	ALCO
American Locomotive Company	ALCo
American Locomotive Company	Alco
Shikoku Electric Power	YONDEN
Crelan	Landbouwkrediet
Crelan	Crédit agricole
Université de Montréal	University of Montreal
Université de Montréal	UdeM
Université de Montréal	Université Laval Montréal
AgustaWestland	AgustaWestland NV
University of Mumbai	University of Bombay
University of Mumbai	Mumbai University
Academy of Performing Arts	Academy of Performing Arts in Prague
Disney Cruise Line	Magical Cruise Company Limited
K Line	Kawasaki Kisen
K Line	Kawasaki Kisen Kaisha
George Washington University	GW
George Washington University	GWU
Dassault Aviation	Dassault Aviation
European XFEL	European X-Ray Free-Electron Laser
European XFEL	European X-Ray Free-Electron Laser GmbH
European XFEL	XFEL.EU
Steelcase	Steelcase, Inc.
Steelcase	The Metal Office Furniture Company
Steelcase	Steelcase Inc.
LoveFilm	LOVEFiLM
Lotte	Lotte Co.
JYP Entertainment	JYP Ent.
Chosun Broadcasting Company	TV Chosun
United Nations University	UNU
University of Auckland	The University of Auckland
Foundry Networks	Foundry Networks, Inc.
Rutgers University	Rutgers, The State University of New Jersey
The Gillette Company	Gillette
Lions Gate Entertainment	Lionsgate
Lions Gate Entertainment	Lions Gate Entertainment Corporation
Auburn University	AU
Neckar	NSU-Fiat
SAP SE	SAP AG
Wall Street English	Wall Street Institute
Goliath	Goliath-Werke Borgward & Co.
Université libre de Bruxelles	ULB
Bavaria Yachtbau	Bavaria Yachtbau GmbH
Imperial Airways	Speedbird
University of Oldenburg	Carl von Ossietzky University of Oldenburg
University of Oldenburg	Carl von Ossietzky Universität Oldenburg
FiveThirtyEight	538
4Kids	4Kids Entertainment
British Rail	BR
British Rail	British Railways
University of Waikato	Te Whare Wānanga o Waikato
Bolsas y Mercados Españoles	BME
Ubisoft Ukraine	Ubisoft Kiev
MobyGames	mobygames.com
Dyson	Dyson Ltd
University of California, San Diego	UCSD
University of California, San Diego	UC San Diego
Braun	Braun GmbH
Braun	Braun AG
Computer Entertainment Rating Organization	CERO
Business Network International	BNI
Jan Evangelista Purkyně University in Ústí nad Labem	UJEP
Nauru Phosphate Corporation	RONPhos
ZiL	Zavod imeni Likhachova
Focus Features	USA Films
Focus Features	Universal Focus
Focus Features	Good Machine
Focus Features	Gramercy Pictures
Focus Features	October Films
University of Delhi	Delhi university
University of Delhi	DU
Aristotle University of Thessaloniki	Aristotelian University
Aristotle University of Thessaloniki	University of Thessaloniki
Schifffahrtsgesellschaft des Vierwaldstättersees	SGV
Black Rock Studio	Pixel Planet
University of Zagreb	Zagreb University
University of South Africa	Unisa
Vossloh	Vossloh AG
Vienna University of Technology	Technische Universität Wien
Vienna University of Technology	TU Wien
Digital Equipment Corporation	DEC
Electronic Data Systems	EDS
Vienna Insurance Group	VIG
Ubisoft Blue Byte	Blue Byte Software
Arup	Arup Group Limited
IUAV University of Venice	Università IUAV di Venezia
IUAV University of Venice	IUAV
Braunschweig University of Technology	Technical University of Braunschweig
National University of Singapore	NUS
University of Miami	U of Miami
Pennsylvania State University	Penn State
Pennsylvania State University	PSU
Pennsylvania State University	Penn State University
Free University of Brussels	ULB
Kawasaki Heavy Industries	KHI
Kawasaki Heavy Industries	Kawasaki Heavy Industries Ltd
North British Locomotive Company	NBL
S.P. Korolev Rocket and Space Corporation Energia	RKK Energia
Tachikawa	Tachikawa Aircraft Company Ltd
Tachikawa	Tachikawa Hikoki K.K.
Tachikawa	Ishikawajima Aircraft Manufacturing Company
Worldvision Enterprises	ABC Film Syndication
Worldvision Enterprises	ABC Films
Snecma	Snecma S.A.
Snecma	Société nationale d'études et de construction de moteurs d'aviation
Snecma	National Aviation Engine Design and Construction Company
Washington University in St. Louis	WUSTL
Washington University in St. Louis	Washington University
Washington University in St. Louis	Wash. U.
Lefèvre-Utile	LU
City University of Hong Kong	CityU
Avon Rubber	Avon Rubber PLC
Keio University	慶應義塾大学
Keio University	Keiō Gijuku Daigaku
Keio University	慶應
Keio University	Keio
Keio University	慶大
Keio University	Keidai
Fellowes	Fellowes, Inc.
Sony Pictures Entertainment	SPE
Sinopec	China Petroleum & Chemical Corporation
Sinopec	Sinopec Limited
Bones	BONES
Corel	Corel Corporation
Transmeta Corporation	Transmeta
OCBC Wing Hang Bank	Wing Hang Bank
OCBC Wing Hang Bank	Wing Hang Bank Limited
OCBC Wing Hang Bank	OCBC Wing Hang Bank Limited
Construcciones y Auxiliar de Ferrocarriles	CAF
University of Wisconsin–Madison	University of Wisconsin-Madison
University of Wisconsin–Madison	UW Madison
Kowloon–Canton Railway Corporation	KCRC
Kowloon–Canton Railway Corporation	Kowloon-Canton Railway Corporation
Peoples' Friendship University of Russia	PFUR
Peoples' Friendship University of Russia	Российский университет дружбы народов
Peoples' Friendship University of Russia	РУДН
Peoples' Friendship University of Russia	Университет дружбы народов
Peoples' Friendship University of Russia	Университет дружбы народов им. Патриса Лумумбы
TBS Radio & Communications	TBS R&C
TBS Radio & Communications	TBS Radio
VNG	VinaGame
Endemol	Endemol Group
University of the Sacred Heart	Seishin Joshi Daigaku
Siddeley-Deasy	Siddeley-Deasy Motorcar Company Limited
Florida State University	FSU
Baseball-Reference.com	B-R.com
Baseball-Reference.com	BRC
University of Applied Arts Vienna	Die Angewandte
University of Applied Arts Vienna	Universität für angewandte Kunst Wien
The Blackstone Group	The Blackstone Group L.P.
Glory	GLORY
Booz Allen Hamilton	Booz Allen
Booz Allen Hamilton	Booz Allen Hamilton Inc.
LEO	Link Everything Online
German Maritime Search and Rescue Service	Deutsche Gesellschaft zur Rettung Schiffbrüchiger
Wesfarmers	Wesfarmers Limited
France Telecom	FT
France Telecom	France-Telecom
British South Africa Company	BSAC
British South Africa Company	BSACo
